#Download date: 06/26/2025
Product name,Product code,Purchase date,Purchase price,Drink date
,SE99,08/09/2017,40.00,
,SE99,12/15/2017,40.00,
"Blanquette de Limoux Reserve, Antech 2015",SG2421,03/07/2019,9.95,2017 - 2021
"Navajas Crianza, Rioja 2015",SP14411,03/07/2019,8.95,2018 - 2021
Ch Moncets Lalande de Pomerol 2011,CS9391,03/07/2019,12.95,2015 - 2020
"'Dirt Track' Cinsault by Duncan Savage, Swartland 2017",SA13351,03/07/2019,7.50,2018 - 2020
Cahors Clos La Coutale 2016,FC34961,03/07/2019,8.50,2018 - 2024
"Côtes-du-Rhône Rive Droite, Rive Gauche 2017",RH50701,03/07/2019,7.75,2018 - 2020
"Pittnauer Pitti Red, Burgenland 2016",AA2301A,03/07/2019,9.95,2017 - 2020
"Young & Crazy Broadleaf Melnik, Villa Melnik 2017",BG271,03/07/2019,8.50,2018 - 2021
Undurraga Finca Las Lomas Leyda Sauvignon Gris 2018,CE10181,03/07/2019,7.95,2019 - 2020
The Society's Fino,SH571,03/07/2019,6.75,0 - 0
"A Fistful of Schist Reserve Shiraz-Cinsault-Mourvèdre, Swartland 2017",SA13551,03/07/2019,6.25,2018 - 2020
The Society's Saumur Brut NV,SG1061,03/07/2019,10.50,0 - 0
"Pinot Noir, Ostoros 2016",HU1301,03/07/2019,6.75,2018 - 2020
Three Choirs First Release 2018,EN1301,03/07/2019,8.95,2018 - 2019
Three Choirs Silver Jubilee Gloucestershire 2017,EN1241,03/07/2019,8.50,2018 - 2020
Tapas Case,XC1816,12/03/2018,39.50,0 - 0
The Society's Exhibition Crozes-Hermitage 2015,RH46381,12/03/2018,13.95,2017 - 2023
The Society's Grüner Veltliner 2017,AA2161,12/03/2018,8.25,2018 - 2020
The Society's French Syrah 2016,RH49971,12/03/2018,7.95,2017 - 2022
"Maison Roche de Bellene, Montagny 2016",BU69221,12/03/2018,16.00,2018 - 2022
The Society's Chablis 2016,BU66331,12/03/2018,14.50,2017 - 2020
"Muscadet Sèvre-et-Maine sur Lie, Château L'Oiselinière de la Ramée, Chéreau-Carré 2015",LO13741,12/03/2018,8.25,2017 - 2020
The Society's Red Burgundy 2017,BU69301,12/03/2018,9.95,0 - 0
The Society's Côtes-du-Rhône 2017,RH50721,12/03/2018,7.75,2018 - 2021
The Society's Exhibition Fleurie 2017,BJ7551,12/03/2018,10.50,2018 - 2020
Ch La Grave de Bertin Reserve Bordeaux 2016,CB5421,12/03/2018,7.50,2017 - 2020
The Society's California Old-Vine Zinfandel 2016,US7671,12/03/2018,7.95,2017 - 2020
The Society's Exhibition Marlborough Sauvignon Blanc 2017,NZ9931,12/03/2018,9.95,2017 - 2020
The Society's Exhibition Pouilly-Fumé 2015,LO13261,12/03/2018,16.00,2017 - 2022
Cahors Clos La Coutale 2016,FC34961,12/03/2018,8.50,2018 - 2024
The Society's White Burgundy 2017,BU69701,12/03/2018,9.95,2018 - 2019
"Domaine Mallory et Benjamin Talmard, Mâcon-Villages 2017",BU69291,12/03/2018,9.95,2018 - 2021
The Society's White Rioja 2018,SP14661,07/05/2019,8.50,2019 - 2021
The Society's Vinho Verde 2018,PW7381,07/05/2019,6.75,2019 - 2020
"Rosé Duo des Plages, Vin de France 2018",FC36031,07/05/2019,6.75,2019 - 2020
Three Choirs Silver Jubilee Gloucestershire 2018,EN1401,07/05/2019,8.50,2019 - 2020
Navajas Blanco Crianza Rioja 2015,SP13861,07/05/2019,8.75,2017 - 2020
The Society's Slovenian White 2017,SL161,07/05/2019,8.95,2018 - 2021
